FID_1,X,Y,ID,Pb,Zn,Cu,SIGLE_PEDO,region_etm,GS
13151,240142,149614,85_ThBailleux,,,59.5863264368,GbBf0_1,7,15
13157,240142,149614,86_ThBailleux,,,64.6647310345,GbBf0_1,7,15
13161,240142,149614,87_ThBailleux,,,63.316754023,GbBf0_1,7,15
13164,240142,149614,88_ThBailleux,,,48.986045977,GbBf0_1,7,15
13169,240142,149614,89_ThBailleux,,,46.8661655172,GbBf0_1,7,15
13175,240142,149614,90_ThBailleux,,,57.5410896552,GbBf0_1,7,15
13423,240142,149614,91_ThBailleux,,,57.8976229885,GbBf0_1,7,15
13499,240142,149614,92_ThBailleux,,,50.7467586207,GbBf0_1,7,15
13504,240142,149614,93_ThBailleux,,,41.3908321839,GbBf0_1,7,15
13510,240142,149614,94_ThBailleux,,,54.0837701149,GbBf0_1,7,15
13512,240142,149614,95_ThBailleux,,,56.8218758621,GbBf0_1,7,15
13521,240142,149614,96_ThBailleux,,,53.3320643678,GbBf0_1,7,15
13535,240142,149614,97_ThBailleux,,,47.316662069,GbBf0_1,7,15
12882,199400,134600,70791/H,,209,,(x)Aba,6,9
12883,199400,134600,70791/I,,208.868421053,,(x)Aba,6,9
13150,197457,134993,85_ALienard,55.718726,142.703975,12.2871897676,(x)ADa,6,9
13138,197380,134833,83_ALienard,43.632316,118.322606,11.5793640142,(x)ADa,6,9
12897,238200,153100,70863/B,,272.026315789,,Aba1,6,9
12898,237800,152900,70863/D,,283.868421053,,Aba1,6,9
12879,205700,136100,70791/A,,144.131578947,,Aba1,6,9
13453,205300,138750,91226A,,118.605263158,21.234375,Aba1,6,9
13454,205300,138750,91226B,,127.289473684,20.609375,Aba1,6,9
13258,223600,137700,90387A,,186.5,14.734375,Aca1,6,9
13259,223600,137700,90387B,,190.447368421,14.375,Aca1,6,9
13416,219000,145800,90974A,,189.131578947,23.890625,Aca1,6,9
13417,219000,145800,90974B,,181.236842105,27.015625,Aca1,6,9
13418,219000,145800,90974C,,165.447368421,25.453125,Aca1,6,9
13500,222243,135750,92208,,151.134831461,11.3548387097,Aca1,6,9
13333,225100,137400,90831O,,211.5,2.015625,Ada1,6,9
13334,225100,137400,90831P,,197.026315789,2.015625,Ada1,6,9
13319,204550,139400,90822,,110.184210526,8.53125,ADp(c),6,9
13143,197214,135093,84_ALienard,35.308909,96.442634,11.0173267171,ADp,6,9
13315,199100,139900,90820O,,96.7631578947,9.59375,Ada1,6,9
13441,198800,139700,91126N,,64.1315789474,11.421875,Ada1,6,9
13442,198800,139700,91126O,,44.3947368421,14.515625,Ada1,6,9
13443,198800,139700,91126P,,16.7631578947,19.203125,Ada1,6,9
12989,199186,134199,8_ALienard,76.825703,345.306749,20.8448652025,fAba2,6,9
12862,218535,139331,7_ThBailleux,,,65.8344413793,GbBf2,6,13
12990,218535,139331,8_ThBailleux,,,59.9323218391,GbBf2,6,13
13173,218535,139331,9_ThBailleux,,,65.9881195402,GbBf2,6,13
13029,199300,135100,80878D,,56.3232323232,10.0107526882,GbBf4,6,13
13320,224550,150500,90831A,,175.973684211,19.359375,Aba1,2,4
13459,223600,150200,91238A,,81.6315789474,15.484375,Aba(b)1,2,4
13460,223600,150200,91238B,,80.7105263158,18.421875,Aba(b)1,2,4
13331,239150,157000,90831M,,183.868421053,2.015625,AbB2,2,4
13064,237150,155300,81116A,,48.7474747475,11.5483870968,Aba1,2,4
13065,237150,155300,81116B,,50.1616161616,11.0537634409,Aba1,2,4
13066,237150,155300,81116C,,50.8686868687,10.8817204301,Aba1,2,4
13067,237150,155300,81116D,,50.4646464647,10.3655913978,Aba1,2,4
13068,237150,155300,81116E,,56.7272727273,9.97849462366,Aba1,2,4
12905,241150,156900,7138/H,,168.078947368,,Aba1,2,4
12894,227600,154600,70829/G,,152.289473684,,Abp(c),2,4
12895,227600,154600,70829/H,,150.973684211,,Abp(c),2,4
12906,236700,159700,71383/I,,132.552631579,,Aba1,2,4
12896,227200,153600,70829/L,,179.921052632,,Aba1,2,4
13329,227150,154000,90831K,,84.5263157895,2.015625,Aba1,2,4
13330,227150,154000,90831L,,87.1578947368,2.015625,Aba1,2,4
12889,228100,149300,70791/O,,299.5,,Aba1,2,4
12892,236000,156000,70829/A,,169.394736842,,AbB2,2,4
12893,236000,156000,70829/B,,164.131578947,,AbB2,2,4
13335,240900,157000,90831Q,,210.184210526,2.015625,AbB2,2,4
13336,240900,157000,90831R,,207.552631579,10.53125,AbB2,2,4
12907,224650,151600,71468/A,,122.181818182,17.2903225806,Abp0_1,2,4
12908,224650,151600,71468/B,,136.222222222,16.3978494624,Abp0_1,2,4
12909,224650,151600,71468/C,,127.838383838,13.1290322581,Abp0_1,2,4
12910,224650,151600,71468/D,,124.909090909,15.8602150538,Abp0_1,2,4
13327,223500,153300,90831I,,103.342105263,2.5625,Abp0_1,2,4
13328,223500,153300,90831J,,99.6578947368,2.015625,Abp0_1,2,4
13069,223850,148800,81116F,,69.9595959596,9.79569892473,Abp(c),2,4
12986,203919,147442,8-Mar,36.5818181818,108.868421053,17.6666666667,Abp0,2,4
13171,203919,147442,9-Mar,32.0363636364,95.7105263158,15.7619047619,Abp0,2,4
12884,224100,148300,70791/J,,220.842105263,,Abp,2,4
12885,224100,148300,70791/K,,224.263157895,,Abp,2,4
12886,224100,148300,70791/L,,213.736842105,,Abp,2,4
12887,224100,148300,70791/M,,217.026315789,,Abp,2,4
12888,224100,148300,70791/N,,211.5,,Abp,2,4
13321,224200,150550,90831B,,181.236842105,17.171875,Abp(c),2,4
13322,223100,153100,90831C,,98.3421052632,7.9375,Abp0_1,2,4
13323,223100,153100,90831D,,100.710526316,6.75,Abp0_1,2,4
13324,223100,153100,90831E,,104.789473684,6.484375,Abp0_1,2,4
13325,223100,153100,90831F,,99.2631578947,5.875,Abp0_1,2,4
13326,223100,153100,90831G,,101.763157895,6.25,Abp0_1,2,4
13332,237900,155700,90831N,,211.5,2.015625,Abp1,2,4
13314,199400,140500,90820L,,81.5,11.5,Adp(c),2,4
13477,224150,147900,91336,,233.868421053,19.359375,Aba1,2,4
13086,234400,123900,81261F,,101.575757576,15.0860215054,Gbbkf2,10,22
13085,234000,124200,81261E,,74.202020202,10.5161290323,GbBKf2,10,22
13087,234200,123700,81261G,,81.0707070707,3.21505376344,Aba0,10,24
13533,222599,123375,969,,,,(x)Aba,8,9
12945,222750,128750,7607,23.5892857143,100.078947368,13.8172043011,(x)Aba,8,9
13158,220363,121899,8602,19,72.2828282828,11.9523809524,A-Gba,8,9
13536,219923,125678,971,,,,Aba1,8,9
12955,228000,127000,7707,,95.5394736842,15.0430107527,Aba1,8,9
12964,228000,127000,7807,24.0535714286,90.1842105263,15.9784946237,Aba1,8,9
12973,228000,127000,7907,23.0267857143,96.4868421053,14.9139784946,Aba1,8,9
13542,228885,128881,973,,,,ADa0,8,9
13153,219935,122050,8502,,75.3131313131,12.9047619048,aGDBf2,8,13
13539,221889,132906,972/006/S/ML/04/1,,101.575757576,12.0322580645,aGbap2,8,14
13529,218080,122955,966,,,,Gbax2,8,19
13532,218221,122581,968,,,,Gbax2,8,19
13502,225120,130320,92608,,129.337078652,11.0322580645,Gbax2,8,19
13501,225300,130440,92508,35.7,152.280898876,11.1827956989,Gbax4,8,19
13538,229099,128947,972,,,,GbBfp4,8,14
13090,236200,124000,81261I,,96.3232323232,9.6559139785,Ahx1,12,25
13091,236200,124000,81261J,,112.686868687,8.47311827957,Ahx1,12,25
13088,235950,124000,81261h,,102.585858586,12.8817204301,Gbbr0_1,12,25
13089,235950,124050,81261H,,102.585858586,12.8817204301,Gbbr0_1,12,25
12915,270300,120500,71468/T,,110.565656566,24.8494623656,Gbbfi2(r),14,29
12899,269900,120700,70863/F,,122.763157895,,Gbbfi0_1(r),14,29
12914,269900,120700,71468/R,,127.141414141,26.1827956989,Gbbfi0_1(r),14,29
13058,270450,120000,81066A,,54.101010101,10.3440860215,Gbbfi3(r),14,29
12911,271000,119200,71468/J,,85.9090909091,19.8924731183,Gcbr0_1,14,29
12912,271000,119200,71468/K,,143.171717172,25.9784946237,Gcbr0_1,14,29
12913,271150,119100,71468/L,,87.7878787879,21.5053763441,Gdbr2,14,29
13874,240375.327001,143779.58508,C6X112,90.0682346939,565.05351,18.6937704918,(x)Aba,7,9
13885,241062.659767,142491.17766,C6X122,902.907122449,4622.11295,95.2002295082,A-Gbp1(1),7,9
14087,267149.412526,157271.289934,GC16161,,691.124661571,15.530623025,(x)ADa,7,9
14088,269534.703835,155702.780597,GC16164,62.0505094219,339.790875361,13.4269192415,(x)ADa,7,9
14165,244629.999354,158259.996523,GC16623,32.4774445672,142.286467561,11.6652189343,Aba1,7,9
14166,245200.914506,154751.528827,GC16626,47.7145043279,193.874164851,33.3935551063,Aba(b)0,7,9
14099,269541.999215,152468.486259,GC16202,83.222649966,237.654129063,10.2207895409,(x)AIa,7,9
13946,238397.79326,141836.740418,C6X91,,637.491450549,35.7302068966,A-Gbpc,7,9
14142,253164.898993,145221.724458,GC16489,49.9983881024,201.86733743,18.1901481884,Aba,7,9
14157,246475.798551,143200.308427,GC16580,46.2830095836,259.018414656,17.2129418766,Aba,7,9
13884,241124.22389,142514.396012,C6X121,,11516.4245934,353.95816092,Aba,7,9
14072,263597.905216,160084.801805,GC16061,51.1116715534,160.374769133,13.5099526515,Aba,7,9
14065,250701.377311,141766.26674,GC16040,48.0755871441,181.026087696,19.9235183637,Abp,7,9
14156,245438.392014,148911.256588,GC16577,49.9097620244,187.414112229,18.0803010288,ADa,7,9
14167,246814.999253,157409.996623,GC16629,,119.229602993,9.05700648542,Abp0,7,9
14084,272373.081453,155953.546104,GC16152,54.9449996511,213.347977698,14.1970008813,ADa,7,9
14106,263673.53379,153916.66077,GC16223,92.5868475848,235.701499741,12.3417702213,ADa,7,9
14062,253385.679433,155409.39587,GC16032,35.5293628652,165.488490173,19.0605975225,ADa,7,9
14116,260070.398068,150629.799609,GC16388,,182.961738375,16.4239575537,ADa,7,9
14147,254424.59386,154747.19795,GC16503,,122.499064357,14.7010720969,AIa,7,9
